epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.945,1.38042,9.58451,0.89682,0.55671,0.03237,0.01683,0.01157,1.11668,3.22629,0.83032,1.86161e-05,1.86161e-05,1.86161e-05
2,366.788,1.20646,4.35622,0.83399,0.5217,0.0709,0.04981,0.03513,1.02117,2.28639,0.82162,3.69136e-05,3.69136e-05,3.69136e-05
3,541.478,1.12467,3.15458,0.82362,0.49457,0.09904,0.0778,0.05585,0.96291,1.94678,0.81799,5.48416e-05,5.48416e-05,5.48416e-05
4,712.942,1.05565,2.54324,0.82201,0.49297,0.12319,0.09896,0.07097,0.93176,1.77682,0.81594,5.43368e-05,5.43368e-05,5.43368e-05
5,875.869,1.0253,2.19209,0.82398,0.56212,0.14655,0.1235,0.09127,0.91249,1.64258,0.81445,5.37824e-05,5.37824e-05,5.37824e-05
6,1042.31,1.00313,1.95657,0.81954,0.54518,0.1614,0.13918,0.10323,0.89302,1.56963,0.81419,5.3228e-05,5.3228e-05,5.3228e-05
7,1209.21,0.98976,1.79266,0.81688,0.57577,0.16553,0.15177,0.11187,0.88705,1.48129,0.81254,5.26736e-05,5.26736e-05,5.26736e-05
8,1376.01,0.97679,1.70691,0.8171,0.53918,0.16917,0.16471,0.12393,0.87843,1.40157,0.81208,5.21192e-05,5.21192e-05,5.21192e-05
9,1542.03,0.96568,1.60049,0.8162,0.5447,0.19537,0.1773,0.13248,0.87946,1.35742,0.81277,5.15648e-05,5.15648e-05,5.15648e-05
10,1708.13,0.94849,1.54147,0.81634,0.5095,0.19832,0.18698,0.14017,0.86455,1.33485,0.81119,5.10104e-05,5.10104e-05,5.10104e-05
11,1875.16,0.96003,1.46315,0.81577,0.50174,0.21121,0.19856,0.15159,0.86087,1.27424,0.80997,5.0456e-05,5.0456e-05,5.0456e-05
12,2039.74,0.94737,1.43239,0.81575,0.5277,0.20487,0.2059,0.15542,0.85775,1.26989,0.81068,4.99016e-05,4.99016e-05,4.99016e-05
13,2205.2,0.92892,1.34131,0.81255,0.4634,0.22716,0.21335,0.16256,0.84697,1.21913,0.80917,4.93472e-05,4.93472e-05,4.93472e-05
14,2370.11,0.92083,1.28854,0.8108,0.53457,0.22734,0.21894,0.1657,0.84814,1.20696,0.80854,4.87928e-05,4.87928e-05,4.87928e-05
15,2534.7,0.919,1.25992,0.81326,0.52294,0.23767,0.22577,0.17302,0.84057,1.15118,0.80799,4.82384e-05,4.82384e-05,4.82384e-05
16,2700.6,0.90435,1.20636,0.81077,0.5897,0.21435,0.23435,0.18053,0.83281,1.12661,0.80787,4.7684e-05,4.7684e-05,4.7684e-05
17,2864.93,0.90043,1.17605,0.81222,0.58818,0.24244,0.24968,0.1914,0.83449,1.10807,0.8086,4.71296e-05,4.71296e-05,4.71296e-05
18,3029.03,0.90498,1.14746,0.80976,0.51777,0.25898,0.25304,0.19429,0.83165,1.09717,0.80685,4.65752e-05,4.65752e-05,4.65752e-05
19,3193.04,0.89059,1.10566,0.80906,0.56666,0.24489,0.26367,0.20204,0.84269,1.08864,0.80924,4.60208e-05,4.60208e-05,4.60208e-05
20,3358.13,0.88786,1.07417,0.80868,0.56768,0.2594,0.25976,0.19887,0.8358,1.08441,0.80641,4.54664e-05,4.54664e-05,4.54664e-05
21,3522.12,0.89429,1.08305,0.80916,0.57439,0.24769,0.27115,0.20797,0.83027,1.0386,0.80749,4.4912e-05,4.4912e-05,4.4912e-05
22,3687.44,0.88805,1.05939,0.80684,0.55094,0.26991,0.27691,0.21411,0.82085,1.05498,0.8059,4.43576e-05,4.43576e-05,4.43576e-05
23,3853.72,0.88387,1.02832,0.8041,0.56686,0.26118,0.28403,0.21903,0.81916,1.01979,0.80568,4.38032e-05,4.38032e-05,4.38032e-05
24,4020.53,0.88658,1.01278,0.80615,0.53043,0.29532,0.28638,0.22108,0.82066,1.01969,0.80672,4.32488e-05,4.32488e-05,4.32488e-05
25,4188.16,0.87352,0.9845,0.80682,0.62187,0.25936,0.29173,0.22464,0.82145,0.98605,0.80626,4.26944e-05,4.26944e-05,4.26944e-05
26,4356.53,0.86811,0.97439,0.8083,0.61986,0.26392,0.29801,0.23036,0.82499,1.0244,0.80624,4.214e-05,4.214e-05,4.214e-05
27,4523.78,0.87264,0.94707,0.80934,0.58365,0.27681,0.30372,0.23437,0.81592,0.9771,0.80641,4.15856e-05,4.15856e-05,4.15856e-05
